Year,Country,Artist,Title,Place F,Points F,Place SF1,Points SF1,Place SF2,Points SF2
1956,Switzerland,Lys Assia,Refrain,1,,,,,
1956,Belgium,Mony Marc,Le Plus Beau Jour De Ma Vie,,,,,,
1956,Belgium,Fud Leclerc,Messieurs Les Noyes De La Seine,,,,,,
1956,France,Dany Dauberson,Il Est La,,,,,,
1956,France,Mathe Altery,Le Temps Perdu,,,,,,
1956,Germany,Freddy Quinn,So Geht Das Jede Nacht,,,,,,
1956,Germany,Walter Andreas Schwarz,Im Wartesaal Zum Grossen Gluck,,,,,,
1956,Italy,Tonina Torielli,Amami Se Vuoi,,,,,,
1956,Italy,Franca Raimondi,Aprite Le Finestre,,,,,,
1956,Luxembourg,Michele Arnaud,Les Amants De Minuit,,,,,,
1956,Luxembourg,Michele Arnaud,Ne Crois Pas,,,,,,
1956,Netherlands,Corry Brokken,Voorgoed Voorbij,,,,,,
1956,Netherlands,Jetty Paerl,De Vogels Van Holland,,,,,,
1956,Switzerland,Lys Assia,Das Alte Karussell,,,,,,
1957,Austria,Bob Martin,"Wohin, Kleines Pony",10,3,,,,
1957,Belgium,Bobbejaan Schoepen,Straatdeuntje,8,5,,,,
1957,Denmark,Birthe Wilke and Gustav Winckler,Skibet Skal Sejle I Nat,3,10,,,,
1957,France,Paule Desjardins,La Belle Amour,2,17,,,,
1957,Germany,Margot Hielscher,"Telefon, Telefon",4,8,,,,
1957,Italy,Nunzio Gallo,Corde Della Mia Chitarra,6,7,,,,
1957,Luxembourg,Daniele Dupre,Tant De Peine,4,8,,,,
1957,Netherlands,Corry Brokken,Net Als Toen,1,31,,,,
1957,Switzerland,Lys Assia,L'enfant Que J'etais,8,5,,,,
1957,United Kingdom,Patricia Bredin,All,7,6,,,,
1958,Austria,Liane Augustin,Die Ganze Welt Braucht Liebe,5,8,,,,
1958,Belgium,Fud Leclerc,Ma Petite Chatte,5,8,,,,
1958,Denmark,Raquel Rastenni,Jeg Rev Et Blad Ud Af Min Dagbog,8,3,,,,
1958,France,Andre Claveau,Dors Mon Amour,1,27,,,,
1958,Germany,Margot Hielscher,Fur Zwei Groschen Musik,7,5,,,,
1958,Italy,Domenico Modugno,Nel Blu Dipinto Di Blu,3,13,,,,
1958,Luxembourg,Solange Berry,Un Grand Amour,9,1,,,,
1958,Netherlands,Corry Brokken,Heel De Wereld,9,1,,,,
1958,Sweden,Alice Babs,Lilla Stjarna,4,10,,,,
1958,Switzerland,Lys Assia,Giorgio,2,24,,,,
1959,Austria,Ferry Graf,Der K. Und K. Kalypso Aus Wien,9,4,,,,
1959,Belgium,Bob Benny,Hou Toch Van Mij,6,9,,,,
1959,Denmark,Birthe Wilke,Uh-jeg Ville Onske Jeg Var Dig,5,12,,,,
1959,France,Jean Philippe,"Oui, Oui, Oui, Oui",3,15,,,,
1959,Germany,Alice and Ellen Kessler,Heut' Woll'n Wir Tanzen Geh'n,8,5,,,,
1959,Italy,Domenico Modugno,Piove,6,9,,,,
1959,Monaco,Jacques Pills,Mon Ami Pierrot,11,1,,,,
1959,Netherlands,Teddy Scholten,Een Beetje,1,21,,,,
1959,Sweden,Brita Borg,Augustin,9,4,,,,
1959,Switzerland,Christa Williams,Irgendwoher,4,14,,,,
1959,United Kingdom,Pearl Carr and Teddy Johnson,Sing Little Birdie,2,16,,,,
1960,Austria,Harry Winter,Du Hast Mich So Fasziniert,7,6,,,,
1960,Belgium,Fud Leclerc,Mon Amour Pour Toi,6,9,,,,
1960,Denmark,Katy Bodtger,Det Var En Yndig Tid,10,4,,,,
