,Year,Country,Performer,Song,Place F,Points F,Place SF1,Points SF1,Place SF2,Points SF2
0,1956,Switzerland,b'Lys Assia',b'Refrain',1,,,,,
1,1956,Belgium,b'Mony Marc',b'Le Plus Beau Jour De Ma Vie',,,,,,
2,1956,Belgium,b'Fud Leclerc',b'Messieurs Les Noyes De La Seine',,,,,,
3,1956,France,b'Dany Dauberson',b'Il Est L\xc3\xa0',,,,,,
4,1956,France,b'Math\xc3\xa9 Alt\xc3\xa9ry',b'Le Temps Perdu',,,,,,
5,1956,Germany,b'Freddy Quinn',b'So Geht Das Jede Nacht',,,,,,
6,1956,Germany,b'Walter Andreas Schwarz',b'Im Wartesaal Zum Gro\xc3\x9fen Gl\xc3\xbcck',,,,,,
7,1956,Italy,b'Tonina Torielli',b'Amami Se Vuoi',,,,,,
8,1956,Italy,b'Franca Raimondi',b'Aprite Le Finestre',,,,,,
9,1956,Luxembourg,b'Mich\xc3\xa8le Arnaud',b'Les Amants De Minuit',,,,,,
10,1956,Luxembourg,b'Mich\xc3\xa8le Arnaud',b'Ne Crois Pas',,,,,,
11,1956,Netherlands,b'Corry Brokken',b'Voorgoed Voorbij',,,,,,
12,1956,Netherlands,b'Jetty Paerl',b'De Vogels Van Holland',,,,,,
13,1956,Switzerland,b'Lys Assia',b'Das Alte Karussell',,,,,,
14,1957,Austria,b'Bob Martin',"b'Wohin, Kleines Pony'",10,3,,,,
15,1957,Belgium,b'Bobbejaan Schoepen',b'Straatdeuntje',8,5,,,,
16,1957,Denmark,b'Birthe Wilke and Gustav Winckler',b'Skibet Skal Sejle I Nat',3,10,,,,
17,1957,France,b'Paule Desjardins',b'La Belle Amour',2,17,,,,
18,1957,Germany,b'Margot Hielscher',"b'Telefon, Telefon'",4,8,,,,
19,1957,Italy,b'Nunzio Gallo',b'Corde Della Mia Chitarra',6,7,,,,
20,1957,Luxembourg,b'Dani\xc3\xa8le Dupr\xc3\xa9',b'Tant De Peine',4,8,,,,
21,1957,Netherlands,b'Corry Brokken',b'Net Als Toen',1,31,,,,
22,1957,Switzerland,b'Lys Assia',"b""L'enfant Que J'\xc3\xa9tais""",8,5,,,,
23,1957,United Kingdom,b'Patricia Bredin',b'All',7,6,,,,
24,1958,Austria,b'Liane Augustin',b'Die Ganze Welt Braucht Liebe',5,8,,,,
25,1958,Belgium,b'Fud Leclerc',b'Ma Petite Chatte',5,8,,,,
26,1958,Denmark,b'Raquel Rastenni',b'Jeg Rev Et Blad Ud Af Min Dagbog',8,3,,,,
27,1958,France,b'Andr\xc3\xa9 Claveau',b'Dors Mon Amour',1,27,,,,
28,1958,Germany,b'Margot Hielscher',b'F\xc3\xbcr Zwei Groschen Musik',7,5,,,,
29,1958,Italy,b'Domenico Modugno',b'Nel Blu Dipinto Di Blu',3,13,,,,
30,1958,Luxembourg,b'Solange Berry',b'Un Grand Amour',9,1,,,,
31,1958,Netherlands,b'Corry Brokken',b'Heel De Wereld',9,1,,,,
32,1958,Sweden,b'Alice Babs',b'Lilla Stj\xc3\xa4rna',4,10,,,,
33,1958,Switzerland,b'Lys Assia',b'Giorgio',2,24,,,,
34,1959,Austria,b'Ferry Graf',b'Der K. Und K. Kalypso Aus Wien',9,4,,,,
35,1959,Belgium,b'Bob Benny',b'Hou Toch Van Mij',6,9,,,,
36,1959,Denmark,b'Birthe Wilke',b'Uh-jeg Ville \xc3\x98nske Jeg Var Dig',5,12,,,,
37,1959,France,b'Jean Philippe',"b'Oui, Oui, Oui, Oui'",3,15,,,,
38,1959,Germany,b'Alice and Ellen Kessler',"b""Heut' Woll'n Wir Tanzen Geh'n""",8,5,,,,
39,1959,Italy,b'Domenico Modugno',b'Piove',6,9,,,,
40,1959,Monaco,b'Jacques Pills',b'Mon Ami Pierrot',11,1,,,,
41,1959,Netherlands,b'Teddy Scholten',b'Een Beetje',1,21,,,,
42,1959,Sweden,b'Brita Borg',b'Augustin',9,4,,,,
43,1959,Switzerland,b'Christa Williams',b'Irgendwoher',4,14,,,,
44,1959,United Kingdom,b'Pearl Carr and Teddy Johnson',b'Sing Little Birdie',2,16,,,,
45,1960,Austria,b'Harry Winter',b'Du Hast Mich So Fasziniert',7,6,,,,
46,1960,Belgium,b'Fud Leclerc',b'Mon Amour Pour Toi',6,9,,,,
47,1960,Denmark,b'Katy B\xc3\xb8dtger',b'Det Var En Yndig Tid',10,4,,,,
48,1960,France,b'Jacqueline Boyer',b'Tom Pillibi',1,32,,,,
49,1960,Germany,b'Wyn Hoop',"b'Bonne Nuit, Ma Ch\xc3\xa9rie!'",4,11,,,,
50,1960,Italy,b'Renato Rascel',b'Romantica',8,5,,,,
51,1960,Luxembourg,b'Camillo Felgen',"b""So Laang We's Du Do Bast""",13,1,,,,
52,1960,Monaco,b'Fran\xc3\xa7ois Deguelt',b'Ce Soir-l\xc3\xa0',3,15,,,,
53,1960,Netherlands,b'Rudi Carrell',b'Wat Een Geluk',12,2,,,,
54,1960,Norway,b'Nora Brockstedt',b'Voi-voi',4,11,,,,
55,1960,Sweden,b'Siw Malmkvist',b'Alla Andra F\xc3\xa5r Varann',10,4,,,,
56,1960,Switzerland,b'Anita Traversi',b'Cielo E Terra',8,5,,,,
57,1960,United Kingdom,b'Bryan Johnson',"b'Looking High, High, High'",2,25,,,,
58,1961,Austria,b'Jimmy Makulis',b'Sehnsucht',15,1,,,,
59,1961,Belgium,b'Bob Benny',"b'September, Gouden Roos'",15,1,,,,
60,1961,Denmark,b'Dario Campeotto',b'Angelique',5,12,,,,
61,1961,Finland,b'Laila Kinnunen',b'Valoa Ikkunassa',10,6,,,,
62,1961,France,b'Jean-Paul Mauric',b'Printemps (avril Carillonne)',4,13,,,,
63,1961,Germany,b'Lale Andersen',b'Einmal Sehen Wir Uns Wieder',13,3,,,,
64,1961,Italy,b'Betty Curtis',b'Al Di L\xc3\xa0',5,12,,,,
65,1961,Luxembourg,b'Jean-Claude Pascal',b'Nous Les Amoureux',1,31,,,,
66,1961,Monaco,b'Colette Der\xc3\xa9al',"b'Allons, Allons Les Enfants'",10,6,,,,
67,1961,Netherlands,b'Greetje Kauffeld',b'Wat Een Dag',10,6,,,,
68,1961,Norway,b'Nora Brockstedt',b'Sommer I Palma',7,10,,,,
69,1961,Spain,b'Conchita Bautista',b'Estando Contigo',9,8,,,,
70,1961,Sweden,b'Lill-Babs',"b'April, April'",14,2,,,,
71,1961,Switzerland,b'Franca di Rienzo',b'Nous Aurons Demain',3,16,,,,
72,1961,United Kingdom,b'The Allisons',b'Are You Sure?',2,24,,,,
73,1961,Yugoslavia,b'Ljiljana Petrovic',b'Neke Davne Zvezde',8,9,,,,
74,1962,Austria,b'Eleonore Schwarz',b'Nur In Der Wiener Luft',13,0,,,,
75,1962,Belgium,b'Fud Leclerc',b'Ton Nom',13,0,,,,
76,1962,Denmark,b'Ellen Winther',b'Vuggevise',10,2,,,,
77,1962,Finland,b'Marion Rung',b'Tipi-tii',7,4,,,,
78,1962,France,b'Isabelle Aubret',b'Un Premier Amour',1,26,,,,
79,1962,Germany,b'Conny Froboess',b'Zwei Kleine Italiener',6,9,,,,
80,1962,Italy,b'Claudio Villa',"b'Addio, Addio'",9,3,,,,
81,1962,Luxembourg,b'Camillo Felgen',b'Petit Bonhomme',3,11,,,,
82,1962,Monaco,b'Fran\xc3\xa7ois Deguelt',b'Dis Rien',2,13,,,,
83,1962,Netherlands,b'De Spelbrekers',b'Katinka',13,0,,,,
84,1962,Norway,b'Inger Jacobsen',"b'Kom Sol, Kom Regn'",10,2,,,,
85,1962,Spain,b'Victor Balaguer',b'Ll\xc3\xa1mame',13,0,,,,
86,1962,Sweden,b'Inger Berggren',b'Sol Och V\xc3\xa5r',7,4,,,,
87,1962,Switzerland,b'Jean Philippe',b'Le Retour',10,2,,,,
88,1962,United Kingdom,b'Ronnie Carroll',b'Ring-a-ding Girl',4,10,,,,
89,1962,Yugoslavia,b'Lola Novakovic',b'Ne Pali Svetlo U Sumrak',4,10,,,,
90,1963,Austria,b'Carmela Corren',b'Vielleicht Geschieht Ein Wunder',7,16,,,,
91,1963,Belgium,b'Jacques Raymond',b'Waarom',10,4,,,,
