Round,Type,Country,Albania,Austria,Bulgaria,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Greece,Iceland,Latvia,Moldova,Poland,Portugal,San Marino,Serbia,Spain,Switzerland,United Kingdom
sf2,Tele,Finland,5,5,12,8,10,10,,2,6,8,10,8,8,12,6,10,10,6,6,8
sf2,Tele,Iceland,1,10,6,10,12,7,12,6,7,5,,7,6,10,7,8,7,8,7,12
sf2,Tele,Switzerland,12,8,7,7,7,6,10,8,3,7,7,6,10,8,8,6,5,7,,3
sf2,Tele,Moldova,,6,,12,,12,5,12,,12,6,12,,7,12,12,12,3,,
sf2,Tele,Portugal,6,7,5,4,8,5,6,10,,3,8,5,4,5,,3,4,12,10,6
sf2,Tele,Bulgaria,8,4,,6,5,2,4,5,8,6,4,2,5,4,5,4,6,10,3,10
sf2,Tele,Greece,10,,8,2,3,,2,,10,,5,1,12,,10,5,8,1,2,1
sf2,Tele,Denmark,2,3,3,3,,8,8,4,4,1,12,4,,6,4,1,2,5,5,5
sf2,Tele,Serbia,4,12,10,5,,,,7,1,4,,,1,1,2,7,,2,12,
sf2,Tele,San Marino,7,,,,2,4,1,,12,2,3,,,2,,,3,4,,2
sf2,Tele,Albania,,2,4,,,,3,3,2,10,,,2,,1,2,1,,8,
sf2,Tele,Estonia,,,1,1,6,,7,,,,,10,3,,,,,,1,
sf2,Tele,Poland,,1,,,,,,1,,,1,,7,,,,,,,7
sf2,Tele,Georgia,,,2,,1,3,,,,,,3,,3,3,,,,,
sf2,Tele,Austria,3,,,,4,,,,,,2,,,,,,,,4,
sf2,Tele,Latvia,,,,,,1,,,5,,,,,,,,,,,4
sf2,Tele,Czech Republic,,,,,,,,,,,,,,,,,,,,
sf2,Jury,Switzerland,12,12,,8,12,12,10,3,12,,12,10,7,8,7,6,5,12,,8
sf2,Jury,Bulgaria,2,8,,7,6,10,12,4,8,8,10,6,12,5,12,5,10,5,12,7
sf2,Jury,Iceland,4,10,,10,8,8,8,6,7,7,,12,6,3,10,1,12,8,8,12
sf2,Jury,Portugal,1,7,8,12,4,6,7,10,10,5,8,8,2,1,,2,7,10,10,10
sf2,Jury,Greece,10,,10,5,2,3,6,12,,,7,,8,12,3,10,8,7,1,
sf2,Jury,Finland,6,5,,6,7,7,,7,4,,6,7,,2,6,3,6,,6,6
sf2,Jury,San Marino,8,1,2,2,5,1,2,8,1,10,3,2,10,10,,,2,3,2,4
sf2,Jury,Albania,,3,4,1,10,2,4,,,6,5,5,5,6,8,7,,2,5,1
sf2,Jury,Moldova,3,2,12,,,,,1,,12,,4,,7,,8,4,,,3
sf2,Jury,Serbia,5,6,,4,,5,3,5,2,3,2,,,,4,4,,4,4,5
sf2,Jury,Austria,7,,6,,3,4,5,,5,,4,1,,,2,,3,6,7,
sf2,Jury,Estonia,,,7,,,,,,3,1,,3,3,4,1,,1,1,3,2
sf2,Jury,Czech Republic,,,5,,,,,2,6,4,,,1,,5,,,,,
sf2,Jury,Poland,,,3,,1,,,,,2,,,,,,12,,,,
sf2,Jury,Denmark,,4,,3,,,1,,,,1,,,,,,,,,
sf2,Jury,Latvia,,,,,,,,,,,,,4,,,,,,,
sf2,Jury,Georgia,,,1,,,,,,,,,,,,,,,,,
