,year,to_country_id,performer,song,composers,lyricists,lyrics,youtube_url
0,1956,ch,Lys Assia,Refrain,Georg Benz Stahl,,"(Refrain d'amour...)\n\nRefrain, couleur du ciel, parfum de mes vingt ans\nJardin plein de soleil oA1 je courais enfant\nPartout je t'ai cherchA(c), mon amoureux lointain\nGuettant par les sentiers oA1 tu prenais ma main\n\nLes jours s'en sont allA(c)s et nous avons grandi\nL'amour nous a blessA(c)s, le temps nous a guA(c)ris\nMais seule et sans printemps\nJe cours en vain les bois, les champs\nDis, souviens-toi nos amours d'autrefois?\n\nLes annA(c)es passent A  tire-d'aile\nEt sur les toits de mon ennui coule la pluie\nOA1 sont parties les caravelles, volant mon cA""ur\nPortant mes rAaves vers ton oubli?\nJ'aurais voulu que tu reviennes comme jadis\nPorter des fleurs A  ma persienne\nEt ta jeunesse en mon logis\n\nRefrain, couleur de pluie, regret de mes vingt ans\nChagrin, mA(c)lancolie de n'Aatre plus enfant\nMais seule et loin de toi, par les chemins oA1 tu n'es pas\nJe vais, pleurant mes amours de vingt ans",https://youtube.com/watch?v=IyqIPvOkiRk
1,1956,nl,Jetty Paerl,De Vogels Van Holland,Cor Lemaire,Annie M. G. Schmidt,"De vogels van Holland zijn zo muzikaal\nZe leren in hun prille jeugd al tierelieren\nDe merel, de lijster en de nachtegaal\nOm zo de lent' in Holland goed te kunnen vieren\n\n't Is geen wonder, want nergens zijn de plassen zo blauw\nAls in Holland, mijnheer\nAls in Holland, mevrouw\n't Is geen wonder, want nergens is het gras zo vol dauw\nZijn de meisjes zo lief, zijn de meisjes zo trouw\nEn daarom zijn de vogels hier allemaal\nZo muzikaal\nZo muzikaal\nZo muzikaal\n\nDe hele wereld door heb ik vogels horen zingen\nIn het zuiden, in het westen, in het noorden\nIn vele verre landen heb ik vogels horen zingen\nZij zingen kleine liedjes zonder woorden\n\nDe Franse vogels zingen tudeludelu\nJapanse vogels zingen tudeludelu\nChinese vogels zingen tudeludelu\nMaar de vogels zingen nergens zo gelukkig en blij\nAls in Holland in het voorjaar in de wei\n\nDe vogels van Holland zijn zo muzikaal\nZe leren in hun prille jeugd al tierelieren\nDe merel, de lijster en de nachtegaal\nOm zo de lent' in Holland goed te kunnen vieren\n\n't Is geen wonder, want nergens zijn de plassen zo blauw\nAls in Holland, mijnheer\nAls in Holland, mevrouw\n't Is geen wonder want nergens is het gras zo vol dauw\nZijn de meisjes zo lief, zijn de meisjes zo trouw\nEn daarom zijn de vogels hier allemaal\nZo muzikaal\nZo muzikaal\nZo muzikaal",https://youtube.com/watch?v=u45UQVGRVPA
2,1956,be,Fud Leclerc,Messieurs Les NoyA(c)s De La Seine,Jacques Say;Jean Miret,Robert Montal,"Messieurs les noyA(c)s de la Seine\nOuvrez-moi les portes de l'eau\nJe suis fatiguA(c) d'user mes semaines\nSur le pavA(c) noir de Puteaux\n\nMessieurs les noyA(c)s de la Seine\nOuvrez-moi les portes de l'eau\nJ'ai tant voyagA(c) sous son ciel de laine\nQue le vent m'a brA>>lA(c) la peau\n\nJe suis depuis toujours mariA(c) A  la misA""re\nJe n'ai connu l'amour que sur un lit de pierre\nLe soleil pour les riches, la lune pour les gueux\nPourquoi, si tout le monde triche, jouer encore le jeu?\n\nMessieurs les noyA(c)s de la Seine\nOuvrez-moi les portes de l'eau\nJe suis fatiguA(c) de n'avoir pour ciel\nQue les ponts rouillA(c)s de Puteaux\n\nMessieurs les noyA(c)s de la Seine\nJ'ai tant regardA(c) les bateaux\nQue d'Aubervilliers jusqu'A  Bourg-la-Reine\nJe porte Paris sur mon dos\n\nLa fille que j'aimais ne m'a jamais aimA(c)\nLes copains que j'avais m'ont tous abandonnA(c)\nJe fais le tour du monde pour trouver le printemps\nMais comme la terre est ronde, ASSa peut durer longtemps\n\nMessieurs les noyA(c)s de la Seine\nOuvrez-moi les portes de l'eau\nJe suis fatiguA(c) de voir la dA(c)gaine\nDes enfants trahis de Puteaux\n\nMessieurs les noyA(c)s de la Seine\nParis me doit bien un berceau\nJe m'endormirai sans amour ni haine\nEntre ses bras de sable et d'eau",https://youtube.com/watch?v=U9O3sqlyra0
3,1956,de,Walter Andreas Schwarz,Im Wartesaal Zum GroAYen GlA 1/4 ck,Walter Andreas Schwarz,,"Es gibt einen Hafen, da fA$?hrt kaum ein Schiff\nUnd wenn eines fA$?hrt, so in unbestimmte Fernen\nUnd es kommt, wenn es ankommt, von sehr weit schon her\nUnd einer steigt aus und der kommt A 1/4 bers Meer\nMit glA$?serner Fracht von den Sternen\n\nUnd man baute am Kai der Vergangenheit\nEinen Saal mit Blick auf das Meer\nUnd mit WA$?nden aus TrA$?umen gegen die Wirklichkeit\nDenn die liebte man nicht sehr\n\nIm Wartesaal zum groAYen GlA 1/4 ck\nDa warten viele, viele Leute\nDie warten seit gestern auf das GlA 1/4 ck von morgen\nUnd leben mit WA 1/4 nschen von A 1/4 bermorgen\nUnd vergessen, es ist ja noch heute\nAch... die armen, armen Leute\n\nUnd sie blickten aufs Meer und sie sahen auch das Schiff\nGerade als es abfuhr in unbestimmte Fernen\nUnd sie jagten auf TrA$?umen hinter ihm her\nUnd sahen ihn nicht, wie er kam A 1/4 bers Meer\nMit glA$?serner Fracht von den Sternen\n\nUnd er ging am Kai der Vergangenheit vorbei\nUnd die im Saal, die liess er einfach stehn\nGing grade aus in die Wirklichkeit\nUnd da hat man ihn lA$?cheln sehn\n\nIm Wartesaal zum groAYen GlA 1/4 ck\nDa warten viele, viele Leute\nDie warten seit gestern auf das GlA 1/4 ck von morgen\nUnd leben mit WA 1/4 nschen von A 1/4 bermorgen\nUnd vergessen, es ist ja noch heute\nHa... die armen, armen Leute\n\nUnd es fuhren am Morgen die Fischer hinaus\nUnd es glA 1/4 hte der Himmel bis in unbestimmte Fernen\nUnd da kam er gegangen und ihre Netze waren leer\nDoch da holte er fA 1/4 r sie die Sonne aus dem Meer\nUnd trug sie empor zu den Sternen\n\nUnd sie glA$?nzte weit durch die Wirklichkeit\nUnd es tanzten die Boote im Licht\nNur im Saal am Kai der Vergangenheit\nDa sah man die Sonne nicht\n\nIm Wartesaal zum groAYen GlA 1/4 ck\nDa warten viele, viele Leute\nDie warten seit gestern auf das GlA 1/4 ck von morgen\nUnd leben mit WA 1/4 nschen von A 1/4 bermorgen\nUnd vergessen, es ist ja noch heute\nTja... die armen Leute",https://youtube.com/watch?v=BDNARIDnmTc
4,1956,fr,MathA(c) AltA(c)ry,Le Temps Perdu,AndrA(c) Lodge,"RachA""le Thoreau","Chante, carillon\nLe chant du temps perdu\nChante ta chanson A  mon cA""ur A(c)perdu\nMoi, je pleure celui que j'aime\n\nBerce dans le soir\nMon rAave et mes sanglots\nVerse en moi l'espoir de le revoir bientA't\nHAC/te-toi, car j'attends toujours\n\nVienne le temps du bonheur\nLe temps d'amour qui seul peut calmer mon cA""ur\n\nCoule le ruisseau\nVers la mer qui t'attend\nRoule dans tes eaux toute la vie du printemps\nMoi, toujours j'attends ton retour\n\nLes heures s'enfuient lentement dans la nuit\nChacune d'elles monotone sonne\nEt j'attends le jour, imaginant toujours\nQue tu me rendras ton amour un jour\n\nChante, carillon\nChante pour mon bonheur\nChante ta chanson, si lA(c)gA""re A  mon cA""ur\nChante aussi pour celui que j'aime\n\nBerce dans le soir\nNos A(c)treintes d'amour\nVerse en moi l'espoir de le garder toujours\nChante, j'oublie le temps perdu\n\nSonne, mais sans te presser\nL'heure d'amour qui nous retient enlacA(c)s\n\nCoule le ruisseau\nVers la mer qui t'attend\nRoule dans tes eaux toute la vie du printemps\nMoi, toujours j'attends ton retour",https://youtube.com/watch?v=dm1L0XyikKI
5,1956,lu,"MichA""le Arnaud",Ne Crois Pas,Christian Guitreau,,"Si on te dit qu't'a une belle gueule\nY a pas de quoi t'en vanter\nEt au lieu d'faire les belles gueules\nTu f'rais mieux d'en profiter\n\nNe crois pas que tout' ta vie\nOn t'aimera pour tes beaux yeux\nCar si ta gueule fait envie\nC'est qu't'es jeune et rien de mieux\n\nNe crois pas, ne crois pas\nQue tu s'ras toujours beau gosse\nNe crois pas, ne crois pas\nQue ta jeunesse durera\n\nTu seras comme tout le monde\nAvec le teint dA(c)cati\nLe bidon en mappemonde\nEt tout's les dents desserties\n\nQuand t'auras le crAC/ne bien lisse\nLe geste mal assurA(c)\nEt le regard en coulisse\nT'iras de faire rA(c)parer\n\nNe crois pas, ne crois pas\nQue tu s'ras toujours beau gosse\nNe crois pas, ne crois pas\nQue ta jeunesse durera\n\nTu t'crois malin\nA vouloir jouer les insondables\nLes intouchables\nDu dA(c)but jusqu'A  la Saint Glin-Glin\n\nC'est pas sA(c)rieux\nLes HermA""s, Adonis, les Hercules\nQui dA(c)ambulent\nSans songer qu'un jour ils seront vieux\n\nSi on te dit qu't'a une belle gueule\nY a pas de quoi t'en vanter\nEt au lieu d'faire les belles gueules\nTu f'rais mieux d'en profiter\n\nNe crois pas que tout' ta vie\nOn t'aimera pour tes beaux yeux\nCar si ta gueule fait envie\nC'est qu't'es jeune et rien de mieux\n\nNe crois pas, ne crois pas\nQue tu s'ras toujours beau gosse\nNe crois pas, ne crois pas\nQue ta jeunesse durera\n\nNe crois pas... ne crois pas...\nNe crois pas que ta jeunesse durera",https://youtube.com/watch?v=Pv7GJkqtNuc
6,1956,it,Franca Raimondi,Aprite Le Finestre,Virgilio Panzuti,Pinchi,"La prima rosa rossa A"" giA  sbocciata\nE nascon timide le viole mammole\nOrmai, la prima rondine A"" tornata:\nNel cielo limpido comincia a volteggiar\nIl tempo bello viene ad annunciar\n\nAprite le finestre al nuovo sole\nA^ primavera, A"" primavera\nLasciate entrare un poco d'aria pura\nCon il profumo dei giardini e i prati in fior\n\nAprite le finestre ai nuovi sogni\nBambine belle, innamorate\nA^ forse il piA1 bel sogno che sognate\nSarA  domani la felicitA :\n\nNel cielo fra le nuvole d'argento\nLa luna ha giA  fissato appuntamento\nAprite le finestre al nuovo sole\nA^ primavera, festa dell'amor\n\nLa la la la la la la la la la la\nAprite le finestre al nuovo sol\n\nSul davanzale un piccolo usignolo\nDall'ali tenere, le piume morbide\nHa giA  spiccato il timido suo volo\nE contro i vetri ha cominciato a picchiettar\nIl suo piA1 bel messaggio vuol portar:\n\nA^ primavera, A"" primavera\n\nAprite le finestre ai nuovi sogni\nAlle speranze, all'illusione\nLasciate entrare l'ultima canzone\nChe dolcemente scenderA  nel cuor\n\nNel cielo fra le nuvole d'argento\nLa luna ha giA  fissato appuntamento\nAprite le finestre al nuovo sole\nA^ primavera, festa dell'amor\n\nLa la la la la la la la la la la\nAprite le finestra al primo amor",https://youtube.com/watch?v=HHA1mC2RkKc
7,1956,nl,Corry Brokken,Voorgoed Voorbij,Jelle de Vries,,"Voorgoed voorbij\nNu zijn we nooit meer samen\nM'n lieveling\nWat heb ik jou gedaan?\n\nVoorgoed voorbij\nGesloten zijn je ramen\nMaar net als toen\nZie ik viooltjes staan\n\nDe hele wereld geurt\nDe lentebloesem kleurt\nAch, waarom is er ieder jaar een nieuwe mei?\nDat is voor mij voorgoed voorbij\nDe lente van mijn leven\nDat lachend getij\n't Is alles voorbij\n\nVoor jou was het maar spel\nIk weet heel goed\nJe hebt het niet anders bedoeld\nMaar ik, ik meende 't wel\n'k Heb het maar al te diep gevoeld\n\nDe hele wereld geurt\nDe lentebloesem kleurt\nAch, waarom is er ieder jaar een nieuwe mei?\nDat is voor mij voorgoed voorbij\nDe lente van mijn leven\nDat lachend getij\n't Is alles voorbij",https://youtube.com/watch?v=6OjNzLaifFM
8,1956,be,Mony Marc,Le Plus Beau Jour De Ma Vie,Claude Alix,David Bee,"Les cloches sonnent\nTout carillonne\nLe plus beau jour de ma vie\nAujourd'hui je me marie\nDing dong, ding dong\n\nSi maman pleure\nC'est bientA't l'heure\nEt papa m'offre le bras\nNous partons A  petits pas\nDing dong, ding dong\n\nLes tout petits enfants me suivent gravement\nPortant ma robe sous mon voile blanc\nVoici mon Prince Charmant, il sourit tendrement\nJe m'avance vers lui le cA""ur battant\n\nMinute brA""ve comme en un rAave\nNos deux Aatres pleins d'amour\nVont Aatre unis pour toujours\nDing dong, ding dong\n\nQuel instant A(c)mouvant\nJe suis tout A(c)tourdie\nPuis ta main sur ma main\nSimplement j'ai dit 'oui'\n\nOrgue en sourdine, tout s'illumine\nLe portail est large ouvert\nNous sortons sous le ciel clair\nDing dong, ding dong\n\nOn nous admire et j'entends dire\n""Regardez, elle est jolie""\n""Comme ils sont bien assortis""\nDing dong, ding dong\n\nUn doux bonheur m'A(c)treint tandis que sur ma main\nTes yeux caressent mon anneau d'or fin\nL'espace d'un instant, je refais le serment\nDe vivre pour t'aimer fidA""lement\n\nLes cloches sonnent\nTout carillonne\nPour que jamais je n'oublie\nLe plus beau jour de ma vie\nDing dong, ding dong",https://youtube.com/watch?v=dL139DezFwo
9,1956,de,Freddy Quinn,So Geht Das Jede Nacht,Lothar Olias,Peter MAPsser,"Am Sonntag mit Jimmy, am Montag mit Jack\nAm Dienstag, da gehst du mit Johnny weg\n\nSo geht das jede Nacht (So geht das jede Nacht)\nSo geht das jede Nacht (So geht das jede Nacht)\nDas hA$?tt ich nie, nie, nie von dir gedacht\n\nIch schenk dir Blumen und fahr dich ins BA 1/4 ro\nFA 1/4 hr deine Mutter jeden Sonntag in den Zoo\nDoch dich bringt am Mittwoch der Billy nach Haus\nAm Donnerstag gehst du mit Tommy aus\n\nSo geht das jede Nacht (So geht das jede Nacht)\nSo geht das jede Nacht (So geht das jede Nacht)\nDas hA$?tt ich nie, nie, nie von dir gedacht\n\nIch hab dich damals als Baby schon geliebt\nJetzt hab ich Boogie und den Cha Cha Cha geA 1/4 bt\nDoch du tanzt am Freitag, am Freitag mit Ben\nSamstag mit einem, den ich nicht mal kenn\n\nSo geht das jede Nacht (So geht das jede Nacht)\nSo geht das jede Nacht (So geht das jede Nacht)\nDas hA$?tt ich nie, nie, nie von dir gedacht\n\nDoch wenn du gedacht hast, ich sitze zuhaus\nIch geh jeden Tag mit 'ner andren aus\n\nSo geht das jede Nacht (So geht das jede Nacht)\nSo geht das jede Nacht (So geht das jede Nacht)\nDas hA$?tt'st du nie, nie, nie von mir gedacht",https://youtube.com/watch?v=DJFGwPVKfyk
