,year,date,host_city,winner,song,performer,points,margin,runner_up,winner_big5,runner_up_big5,placement,winner_genre,winner_english,runner_up_genre,runner_up_english,winner_sf_score,sf_margin,runner_up_sf_score,winner_betting_odds,runner_up_betting_odds,runner_up_ev_poll_result,winner_ev_poll_result,winner_wiwi_poll_result,runner_up_wiwi_poll_result,lyrics_type,winner_rank,runner_up_rank,YT_likes,YT_comments,YT_positive_comments,YT_negative_comments,previous_winner_cnt,previous_runner_up_cnt
0,1956,24-May,Lugano,Switzerland,Refrain,Lys Assia,102,,,0,0,9,Chanson,0.0,,,,,,,,,,,,,,,,,,,,
1,1957,3-Mar,Frankfurt,Netherlands,Net als toen,Corry Brokken,31,14.0,France,0,1,6,Music,0.0,,,,,,,,,,,,,,,,,,,,
2,1958,12-Mar,Hilversum,France,"Dors, mon amour",Andr_ Claveau,27,3.0,Switzerland,1,0,3,,,,,,,,,,,,,,,,,,,,,,
3,1959,11-Mar,Cannes,Netherlands,Een beetje,Teddy Scholten,21,5.0,United Kingdom,0,1,5,Pop,0.0,,,,,,,,,,,,,,,,,,,,
4,1960,29-Mar,London,France,Tom Pillibi,Jacqueline Boyer,32,7.0,United Kingdom,1,1,13,,,,,,,,,,,,,,,,,,,,,,
5,1961,18-Mar,Cannes,Luxembourg,Nous les amoureux,Jean-Claude Pascal,31,7.0,United Kingdom,0,1,14,,,,,,,,,,,,,,,,,,,,,,
6,1962,18-Mar,Luxembourg,France,Un premier amour,Isabelle Aubret,26,13.0,Monaco,1,0,9,,,,,,,,,,,,,,,,,,,,,,
7,1963,23-Mar,London,Denmark,Dansevise,Grethe and Jrgen Ingmann,42,2.0,Switzerland,0,0,8,,,,,,,,,,,,,,,,,,,,,,
8,1964,21-Mar,Copenhagen,Italy,Non ho l'et,Gigliola Cinquetti,49,32.0,United Kingdom,1,1,12,,,,,,,,,,,,,,,,,,,,,,
9,1965,20-Mar,Naples,Luxembourg,"Poup_e de cire, poup_e de son",France Gall,32,6.0,United Kingdom,0,1,15,,,,,,,,,,,,,,,,,,,,,,
10,1966,5-Mar,Luxembourg,Austria,"Merci, Ch_rie",Udo Jrgens,31,15.0,Sweden,0,0,9,,,,,,,,,,,,,,,,,,,,,,
11,1967,8-Apr,Vienna,United Kingdom,Puppet on a String,Sandie Shaw,47,25.0,Ireland,1,0,11,Pop,1.0,,,,,,,,,,,,,,,,,,,,
12,1968,6-Apr,London,Spain,"La, la, la",Massiel,29,1.0,United Kingdom,1,1,15,,,,,,,,,,,,,,,,,,,,,,
13,1969,29-Mar,Madrid,United Kingdom,Boom Bang-a-Bang,Lulu,18,,,1,0,3,,0.0,,,,,,,,,,,,,,,,,,,,
14,1969,29-Mar,Madrid,Spain,Vivo cantando,Salom_,18,,,1,0,7,,,,,,,,,,,,,,,,,,,,,,
15,1969,29-Mar,Madrid,France,"Un jour, un enfant",Frida Boccara,18,,,1,0,8,,,,,,,,,,,,,,,,,,,,,,
16,1969,29-Mar,Madrid,Netherlands,De troubadour,Lenny Kuhr,18,,,0,0,14,,,,,,,,,,,,,,,,,,,,,,
17,1970,21-Mar,Amsterdam,Ireland,All Kinds of Everything,Dana,32,6.0,United Kingdom,0,1,12,Pop,1.0,,,,,,,,,,,,,,,,,,,,
18,1971,3-Apr,Dublin,Monaco,"Un banc, un arbre, une rue",S_verine,128,12.0,Spain,0,1,3,,,,,,,,,,,,,,,,,,,,,,
19,1972,25-Mar,Edinburgh,Luxembourg,Aprs toi,Vicky Leandros,128,14.0,United Kingdom,0,1,17,,,,,,,,,,,,,,,,,,,,,,
20,1973,7-Apr,Luxembourg,Luxembourg,Tu te reconnatras,Anne-Marie David,129,4.0,Spain,0,1,11,,,,,,,,,,,,,,,,,,,,,,
21,1974,6-Apr,Brighton,Sweden,Waterloo,ABBA,24,6.0,Italy,0,1,8,,,,,,,,,,,,,,,,,,,,,,
22,1975,22-Mar,Stockholm,Netherlands,Ding-a-dong,Teach-In,152,14.0,United Kingdom,0,1,1,Pop,1.0,,,,,,,,,,,,,,,,,,,,
23,1976,3-Apr,The Hague,United Kingdom,Save Your Kisses for Me,Brotherhood of Man,164,17.0,France,1,1,1,Pop,1.0,,,,,,,,,,,,,,,,,,,,
24,1977,7-May,London,France,L'oiseau et l'enfant,Marie Myriam,136,15.0,United Kingdom,1,1,18,French Pop,0.0,,,,,,,,,,,,,,,,,,,,
25,1978,22-Apr,Paris,Israel,A-Ba-Ni-Bi(_-_-__-__),Izhar Cohenand theAlphabeta,157,32.0,Belgium,0,0,18,,,,,,,,,,,,,,,,,,,,,,
26,1979,31-Mar,Jerusalem,Israel,Hallelujah(______),Gali AtariandMilk and Honey,125,9.0,Spain,0,1,10,,,,,,,,,,,,,,,,,,,,,,
27,1980,19-Apr,The Hague,Ireland,What's Another Year,Johnny Logan,143,15.0,Germany,0,1,17,,,,,,,,,,,,,,,,,,,,,,
28,1981,4-Apr,Dublin,United Kingdom,Making Your Mind Up,Bucks Fizz,136,4.0,Germany,1,1,14,Pop,,,,,,,,,,,,,,,,,,,,,
29,1982,24-Apr,Harrogate,Germany,Ein bichen Frieden,Nicole,161,61.0,Israel,1,0,18,,,,,,,,,,,,,,,,,,,,,,
30,1983,23-Apr,Munich,Luxembourg,Si la vie est cadeau,Corinne Herms,142,6.0,Israel,0,0,20,,,,,,,,,,,,,,,,,,,,,,
31,1984,5-May,Luxembourg,Sweden,Diggi-Loo Diggi-Ley,Herreys,145,8.0,Ireland,0,0,1,,1.0,,,,,,,,,,,,,,,,,,,,
32,1985,4-May,Gothenburg,Norway,La det swinge,Bobbysocks!,123,18.0,Germany,0,1,13,,0.0,,,,,,,,,,,,,,,,,,,,
33,1986,3-May,Bergen,Belgium,J'aime la vie,Sandra Kim,176,36.0,Switzerland,0,0,13,Music,0.0,,,,,,,,,,,,,,,,,,,,
34,1987,9-May,Brussels,Ireland,Hold Me Now,Johnny Logan,172,31.0,Germany,0,1,20,Pop,1.0,,,,,,,,,,,,,,,,,,,,
35,1988,30-Apr,Dublin,Switzerland,Ne partez pas sans moi,C_line Dion,137,1.0,United Kingdom,0,1,9,Pop,0.0,,,,,,,,,,,,,,,,,,,,
36,1989,6-May,Lausanne,Yugoslavia,Rock Me,Riva,137,7.0,United Kingdom,0,1,22,Pop,0.0,,,,,,,,,,,,,,,,,,,,
37,1990,5-May,Zagreb,Italy,Insieme: 1992,Toto Cutugno,149,17.0,Ireland,1,0,19,Pop,0.0,,,,,,,,,,,,,,,,,,,,
38,1991,4-May,Rome,Sweden,Fngad av en stormvind,Carola,146,0.0,France,0,1,8,,,,,,,,,,,,,,,,,,,,,,
39,1992,9-May,Malm_,Ireland,Why Me?,Linda Martin,155,16.0,United Kingdom,0,1,17,Pop,1.0,,,,,,,,,,,,,,,,,,,,
40,1993,15-May,Millstreet,Ireland,In Your Eyes,Niamh Kavanagh,187,23.0,United Kingdom,0,1,14,Pop,1.0,,,,,,,,,,,,,,,,,,,,
41,1994,30-Apr,Dublin,Ireland,Rock 'n' Roll Kids,Paul HarringtonandCharlie McGettigan,226,60.0,Poland,0,0,3,,,,,,,,,,,,,,,,,,,,,,
42,1995,13-May,Dublin,Norway,Nocturne,Secret Garden,148,29.0,Spain,0,1,5,,,,,,,,,,,,,,,,,,,,,,
43,1996,18-May,Oslo,Ireland,The Voice,Eimear Quinn,162,48.0,Norway,0,0,17,Music,1.0,,,,,,,,,,,,,,,,,,,,
44,1997,3-May,Dublin,United Kingdom,Love Shine a Light,Katrina and the Waves,227,70.0,Ireland,1,0,24,Pop,1.0,,,,,,,,,,,,,,,,,,,,
45,1998,9-May,Birmingham,Israel,Diva(_____),Dana International,172,6.0,United Kingdom,0,1,8,Pop,0.0,,,,,,,,,,,,,,,,,,,,
46,1999,29-May,Jerusalem,Sweden,Take Me to Your Heaven,Charlotte Nilsson,163,17.0,Iceland,0,0,15,,,,,,,,,,,,,,,,,,,,,,
